source_type,source_file,brand,topic,sentiment,title,text,chunk_id
overall_summary,data\camera_sentiment_label.xlsx,ALL,ALL,ALL,Overall project summary,"Overall project summary for the entry-level camera review analysis.
Total reviews: 4170.
Covered period: 2021-10-11 to 2026-03-12.
Brands covered: Canon (佳能), Fujifilm (富士), Nikon (尼康), Sony (索尼).
Topic distribution: Logistics & Service: 1654 reviews (39.66%); Appearance & Satisfaction: 969 reviews (23.24%); Performance & Quality: 883 reviews (21.18%); Design & Portability: 661 reviews (15.85%); Unassigned: 3 reviews (0.07%).
Rule-based sentiment distribution: positive: 4167 (99.93%); neutral: 3 (0.07%).
Model-predicted sentiment distribution: positive: 4167 (99.93%); neutral: 3 (0.07%).
Average sentiment scores: positive=0.924, neutral=0.067, negative=0.009.
Average auxiliary scores: referral=0.016, community=0.001, discussion=0.008.",chunk_00000
sentiment_alignment_summary,data\camera_sentiment_label.xlsx,ALL,ALL,ALL,Rule vs predicted sentiment comparison,"Comparison between rule-based sentiment and model-predicted sentiment.
For rule-based label neutral: predicted neutral: 3; predicted positive: 0.
For rule-based label positive: predicted neutral: 0; predicted positive: 4167.",chunk_00001
brand_summary,data\camera_sentiment_label.xlsx,佳能,ALL,ALL,Brand summary - Canon (佳能),"Brand summary for Canon (佳能).
Review volume: 1286 reviews (30.84% of all reviews).
Most discussed topic: Logistics & Service (597 reviews).
Least discussed topic: Design & Portability (218 reviews).
Best topic by average positive score: Design & Portability.
Highest-risk topic by average negative score: Appearance & Satisfaction.
Topic distribution: Logistics & Service: 597 (46.42%); Appearance & Satisfaction: 250 (19.44%); Performance & Quality: 221 (17.19%); Design & Portability: 218 (16.95%).
Rule-based sentiment distribution: positive: 1286 (100.0%).
Model-predicted sentiment distribution: positive: 1286 (100.0%).
Average sentiment scores: positive=0.932, neutral=0.060, negative=0.008.
Average auxiliary scores: referral=0.015, community=0.000, discussion=0.008.",chunk_00002
brand_summary,data\camera_sentiment_label.xlsx,富士,ALL,ALL,Brand summary - Fujifilm (富士),"Brand summary for Fujifilm (富士).
Review volume: 882 reviews (21.15% of all reviews).
Most discussed topic: Logistics & Service (382 reviews).
Least discussed topic: Unassigned (2 reviews).
Best topic by average positive score: Design & Portability.
Highest-risk topic by average negative score: Appearance & Satisfaction.
Topic distribution: Logistics & Service: 382 (43.31%); Appearance & Satisfaction: 310 (35.15%); Performance & Quality: 124 (14.06%); Design & Portability: 64 (7.26%); Unassigned: 2 (0.23%).
Rule-based sentiment distribution: positive: 882 (100.0%).
Model-predicted sentiment distribution: positive: 882 (100.0%).
Average sentiment scores: positive=0.907, neutral=0.082, negative=0.011.
Average auxiliary scores: referral=0.024, community=0.000, discussion=0.005.",chunk_00003
brand_summary,data\camera_sentiment_label.xlsx,尼康,ALL,ALL,Brand summary - Nikon (尼康),"Brand summary for Nikon (尼康).
Review volume: 1062 reviews (25.47% of all reviews).
Most discussed topic: Logistics & Service (402 reviews).
Least discussed topic: Design & Portability (169 reviews).
Best topic by average positive score: Design & Portability.
Highest-risk topic by average negative score: Logistics & Service.
Topic distribution: Logistics & Service: 402 (37.85%); Performance & Quality: 280 (26.37%); Appearance & Satisfaction: 211 (19.87%); Design & Portability: 169 (15.91%).
Rule-based sentiment distribution: positive: 1059 (99.72%); neutral: 3 (0.28%).
Model-predicted sentiment distribution: positive: 1059 (99.72%); neutral: 3 (0.28%).
Average sentiment scores: positive=0.924, neutral=0.067, negative=0.009.
Average auxiliary scores: referral=0.012, community=0.000, discussion=0.010.",chunk_00004
brand_summary,data\camera_sentiment_label.xlsx,索尼,ALL,ALL,Brand summary - Sony (索尼),"Brand summary for Sony (索尼).
Review volume: 940 reviews (22.54% of all reviews).
Most discussed topic: Logistics & Service (273 reviews).
Least discussed topic: Unassigned (1 reviews).
Best topic by average positive score: Design & Portability.
Highest-risk topic by average negative score: Unassigned.
Topic distribution: Logistics & Service: 273 (29.04%); Performance & Quality: 258 (27.45%); Design & Portability: 210 (22.34%); Appearance & Satisfaction: 198 (21.06%); Unassigned: 1 (0.11%).
Rule-based sentiment distribution: positive: 940 (100.0%).
Model-predicted sentiment distribution: positive: 940 (100.0%).
Average sentiment scores: positive=0.930, neutral=0.062, negative=0.008.
Average auxiliary scores: referral=0.017, community=0.001, discussion=0.008.",chunk_00005
topic_summary,data\camera_sentiment_label.xlsx,ALL,Appearance & Satisfaction,ALL,Topic summary - Appearance & Satisfaction,"Topic summary for Appearance & Satisfaction.
Review volume: 969 reviews (23.24% of all reviews).
Most associated brand by volume: Fujifilm (富士) (310 reviews).
Brand with highest average positive score in this topic: Canon (佳能).
Brand with highest average negative score in this topic: Fujifilm (富士).
Brand distribution within topic: Fujifilm (富士): 310 (31.99%); Canon (佳能): 250 (25.8%); Nikon (尼康): 211 (21.78%); Sony (索尼): 198 (20.43%).
Average sentiment scores within topic: positive=0.910, neutral=0.080, negative=0.011.
Average auxiliary scores within topic: referral=0.010, community=0.000, discussion=0.004.",chunk_00006
topic_summary,data\camera_sentiment_label.xlsx,ALL,Design & Portability,ALL,Topic summary - Design & Portability,"Topic summary for Design & Portability.
Review volume: 661 reviews (15.85% of all reviews).
Most associated brand by volume: Canon (佳能) (218 reviews).
Brand with highest average positive score in this topic: Nikon (尼康).
Brand with highest average negative score in this topic: Fujifilm (富士).
Brand distribution within topic: Canon (佳能): 218 (32.98%); Sony (索尼): 210 (31.77%); Nikon (尼康): 169 (25.57%); Fujifilm (富士): 64 (9.68%).
Average sentiment scores within topic: positive=0.968, neutral=0.029, negative=0.003.
Average auxiliary scores within topic: referral=0.006, community=0.000, discussion=0.005.",chunk_00007
topic_summary,data\camera_sentiment_label.xlsx,ALL,Logistics & Service,ALL,Topic summary - Logistics & Service,"Topic summary for Logistics & Service.
Review volume: 1654 reviews (39.66% of all reviews).
Most associated brand by volume: Canon (佳能) (597 reviews).
Brand with highest average positive score in this topic: Canon (佳能).
Brand with highest average negative score in this topic: Fujifilm (富士).
Brand distribution within topic: Canon (佳能): 597 (36.09%); Nikon (尼康): 402 (24.3%); Fujifilm (富士): 382 (23.1%); Sony (索尼): 273 (16.51%).
Average sentiment scores within topic: positive=0.918, neutral=0.072, negative=0.010.
Average auxiliary scores within topic: referral=0.023, community=0.000, discussion=0.013.",chunk_00008
topic_summary,data\camera_sentiment_label.xlsx,ALL,Performance & Quality,ALL,Topic summary - Performance & Quality,"Topic summary for Performance & Quality.
Review volume: 883 reviews (21.18% of all reviews).
Most associated brand by volume: Nikon (尼康) (280 reviews).
Brand with highest average positive score in this topic: Canon (佳能).
Brand with highest average negative score in this topic: Fujifilm (富士).
Brand distribution within topic: Nikon (尼康): 280 (31.71%); Sony (索尼): 258 (29.22%); Canon (佳能): 221 (25.03%); Fujifilm (富士): 124 (14.04%).
Average sentiment scores within topic: positive=0.918, neutral=0.072, negative=0.009.
Average auxiliary scores within topic: referral=0.019, community=0.002, discussion=0.004.",chunk_00009
